"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E-Commerce API","0","Products","3","0","Pagination","0"
"0","E-Commerce API","0","Products","2","0","Single Product","0"
"0","E-Commerce API","0","Authentication","5","0","Login","0"
"0","E-Commerce API","0","Products","3","0","CRUD","0"
"0","GraphQL API","0","Countries","2","0","Error Handling","0"
"0","Sauce Demo","0","Inventory","6","0","","0"
"0","Sauce Demo","0","Login","5","0","","0"
"0","E-Commerce API","0","Products","2","0","Schema Validation","0"
"0","","0","","9","0","","0"
"0","E-Commerce API","0","Authentication","2","0","Protected Endpoints","0"
"0","Sauce Demo","0","Checkout","4","0","","0"
"0","E-Commerce API","0","Cart","2","0","Get Cart","0"
"0","E-Commerce API","0","Cart","3","0","CRUD","0"
"0","E-Commerce API","0","Products","2","0","List Products","0"
"0","E-Commerce API","0","Cart","1","0","Schema Validation","0"
"0","E-Commerce API","0","Products","2","0","Categories","0"
"0","GraphQL API","0","Countries","1","0","Filter Countries","0"
"0","E-Commerce API","0","Products","1","0","Search","0"
"0","GraphQL API","0","Countries","1","0","Query Countries","0"
"0","GraphQL API","0","Countries","1","0","Single Country","0"
"0","E-Commerce API","0","Products","1","0","Data Validation","0"
"0","GraphQL API","0","Countries","1","0","Schema Validation","0"
