"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","258","Pagination with limit=5 and skip=0","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","252","GET /products/99999 returns 404","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","237","Login with empty password returns 400","api-tests.tests","2026-04-08","passed","2026-04-08","TestAuth","test_auth","",""
"","249","DELETE /products/1 deletes a product","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","489","Invalid GraphQL query returns errors in response body","api-tests.tests","2026-04-08","passed","2026-04-08","TestGraphQL","test_graphql","",""
"Verify that sorting by price low-to-high orders products correctly.","26","Sort products by price low to high","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestInventory","test_inventory","",""
"Verify that submitting without a password shows an error.","486","Empty password shows error message","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestLogin","test_login","",""
"Verify that exactly 6 products are shown on the inventory page.","21","Inventory page displays 6 products","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestInventory","test_inventory","",""
"","256","Product response matches Pydantic schema","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\product_search.feature: View all products","614","test_view_all_products","bdd.steps","2026-04-08","passed","2026-04-08","","test_product_search","",""
"","251","Access protected endpoint with valid token succeeds","api-tests.tests","2026-04-08","passed","2026-04-08","TestAuth","test_auth","",""
"","262","Login with empty username returns 400","api-tests.tests","2026-04-08","passed","2026-04-08","TestAuth","test_auth","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\login.feature: Login fails with invalid credentials","406","test_login_fails_with_invalid_credentials","bdd.steps","2026-04-08","passed","2026-04-08","","test_login","",""
"Add items to cart, remove one, and verify it is gone.","147","Remove item from cart","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestCheckoutFlow","test_checkout_flow","",""
"","319","Login with valid credentials returns 200 and a token","api-tests.tests","2026-04-08","passed","2026-04-08","TestAuth","test_auth","",""
"","107","Product contains all required fields","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","265","GET /carts/user/1 returns the user cart","api-tests.tests","2026-04-08","passed","2026-04-08","TestCart","test_cart","",""
"","243","DELETE /carts/1 deletes a cart","api-tests.tests","2026-04-08","passed","2026-04-08","TestCart","test_cart","",""
"","246","PUT /carts/1 updates an existing cart","api-tests.tests","2026-04-08","passed","2026-04-08","TestCart","test_cart","",""
"","271","Products total count is greater than zero","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\product_search.feature: Sort products by price low to high","595","test_sort_products_by_price_low_to_high","bdd.steps","2026-04-08","passed","2026-04-08","","test_product_search","",""
"Attempt to continue checkout without filling in personal info.","148","Checkout without filling information shows error","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestCheckoutFlow","test_checkout_flow","",""
"","257","Cart response matches Pydantic schema","api-tests.tests","2026-04-08","passed","2026-04-08","TestCart","test_cart","",""
"","258","GET /products/categories returns a list","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"Verify that sorting by name A-Z orders products alphabetically.","24","Sort products by name A to Z","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestInventory","test_inventory","",""
"","773","PUT /products/1 updates an existing product","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","260","Filter countries by continent (Asia)","api-tests.tests","2026-04-08","passed","2026-04-08","TestGraphQL","test_graphql","",""
"","289","Login with invalid credentials returns 400","api-tests.tests","2026-04-08","passed","2026-04-08","TestAuth","test_auth","",""
"","244","Search products by query string","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","288","GraphQL always returns HTTP 200 even for invalid queries","api-tests.tests","2026-04-08","passed","2026-04-08","TestGraphQL","test_graphql","",""
"","293","Get all countries returns a non-empty list","api-tests.tests","2026-04-08","passed","2026-04-08","TestGraphQL","test_graphql","",""
"","256","Pagination with limit=1 and skip=99","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","267","Get Indonesia by code 'ID'","api-tests.tests","2026-04-08","passed","2026-04-08","TestGraphQL","test_graphql","",""
"","260","POST /carts/add creates a new cart","api-tests.tests","2026-04-08","passed","2026-04-08","TestCart","test_cart","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\checkout.feature: Checkout fails with missing postal code","573","test_checkout_fails_with_missing_postal_code","bdd.steps","2026-04-08","passed","2026-04-08","","test_checkout","",""
"Verify that a standard user can log in and reach the inventory page.","483","Successful login with standard user","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestLogin","test_login","",""
"","85","Product price is a positive number","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"Verify that a locked-out user sees the appropriate error message.","462","Locked out user receives error message","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestLogin","test_login","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\product_search.feature: Sort products by name Z to A","444","test_sort_products_by_name_z_to_a","bdd.steps","2026-04-08","passed","2026-04-08","","test_product_search","",""
"Verify that sorting by price high-to-low orders products correctly.","29","Sort products by price high to low","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestInventory","test_inventory","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\checkout.feature: Complete checkout with valid information","1198","test_complete_checkout_with_valid_information","bdd.steps","2026-04-08","passed","2026-04-08","","test_checkout","",""
"","253","Access protected endpoint without token returns 401","api-tests.tests","2026-04-08","passed","2026-04-08","TestAuth","test_auth","",""
"Verify that products are visible after logging in.","27","Products are displayed on the inventory page","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestInventory","test_inventory","",""
"","287","Country has name and capital fields","api-tests.tests","2026-04-08","passed","2026-04-08","TestGraphQL","test_graphql","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\login.feature: Successful login with standard user","618","test_successful_login_with_standard_user","bdd.steps","2026-04-08","passed","2026-04-08","","test_login","",""
"","268","GET products by category returns matching products","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","79","GET /products returns 200","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"","81","GET /products/1 returns a valid product","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
"Verify that adding a product increments the cart badge count.","66","Adding to cart updates the badge count","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestInventory","test_inventory","",""
"Verify that submitting without a username shows an error.","378","Empty username shows error message","ui-tests.python.tests","2026-04-08","passed","2026-04-08","TestLogin","test_login","",""
"C:\Users\Admin\Pictures\Learne2e\qa-automation-playground\bdd\features\login.feature: Login fails with locked out user","517","test_login_fails_with_locked_out_user","bdd.steps","2026-04-08","passed","2026-04-08","","test_login","",""
"","258","Pagination with limit=10 and skip=5","api-tests.tests","2026-04-08","passed","2026-04-08","TestProducts","test_products","",""
